House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Såggatan 50B",Majorna,Göteborg,Lägenhet,Bostadsrätt,1,4,4,No,No,31,0,0,1900-1950,1919.00,4800.00,2024-05-29,2.40,0.05,2.35
"Korpralsvägen 32B",Teg,Ume,Lägenhet,Bostadsrätt,2,7,8,Yes,Yes,54,0,0,2011-present,3379.00,2288.00,2024-05-29,1.90,0.00,1.90
"Töpelsgatan 8D",Örgryte,Göteborg,Lägenhet,Bostadsrätt,2,2,3,No,Yes,52,0,0,1900-1950,3383.00,5040.00,2024-05-29,3.28,-0.08,3.36
"Kasinogatan 1",Lugnet,Malm,Lägenhet,Bostadsrätt,3,3,0,Yes,Yes,75,0,0,1951-2000,6476.00,3756.00,2024-05-29,2.80,0.11,2.69
"Anders Reimers väg 4",Reimersholme,Stockholm,Lägenhet,Bostadsrätt,2,2,4,No,Yes,44,0,0,1900-1950,3439.00,12240.00,2024-05-29,4.00,0.76,3.24
"Kågevägen 40E",Alhem,Skellefte,Lägenhet,Bostadsrätt,2,0,0,No,Yes,52.5,0,0,2011-present,2594.00,6360.00,2024-05-29,1.18,0.40,0.78
"Skogsbovägen 24",GustavsbergÖsbySjö,Värmd,Lägenhet,Bostadsrätt,2,6,8,Yes,Yes,45,0,0,2011-present,4344.00,4632.00,2024-05-29,3.00,0.16,2.84
"Karl Dahlins väg 18C",Hentorp,Skövd,Lägenhet,Bostadsrätt,4,1,3,No,Yes,87,0,0,1951-2000,6065.00,4344.00,2024-05-29,1.08,-0.03,1.10
"Snövägen 166B",Björkskatan,Lule,Lägenhet,Bostadsrätt,3,2,2,No,Yes,75,0,0,1951-2000,4117.00,2928.00,2024-05-29,1.70,-0.05,1.74
"Skärvstensgatan 24",Mariehöjd,Ume,Lägenhet,Bostadsrätt,3,4,6,Yes,Yes,66.5,0,0,2011-present,4966.00,6360.00,2024-05-29,2.20,0.15,2.05
"Runvägen 9A",Berga,Kalma,Lägenhet,Bostadsrätt,3,2,3,No,Yes,65,0,0,1951-2000,4558.00,3215.00,2024-05-29,1.00,-0.05,1.04
"Grafikvägen 16",Gullmarsplan,Stockholm,Lägenhet,Bostadsrätt,2,3,3,No,Yes,44,0,0,2011-present,8400.00,6360.00,2024-05-29,2.48,0.38,2.10
"Stormgatan 8",Gränby,Uppsal,Lägenhet,Bostadsrätt,3,3,3,No,Yes,82.5,0,0,1951-2000,4943.00,6871.00,2024-05-29,2.20,-0.07,2.26
"Gotlandsgatan 64",SödermalmSofia,Stockholm,Lägenhet,Bostadsrätt,1,3,5,Yes,Yes,41,0,0,1900-1950,2669.00,6360.00,2024-05-29,3.75,0.90,2.85
"Erstagatan 23, 1tr",Södermalm/Sofia,Stockholm,Lägenhet,Bostadsrätt,1,1,6,Yes,No,27.2,0,0,1900-1950,1671.00,4344.00,2024-05-29,2.80,0.21,2.59
"Stora Brogatan 12A",CentralaNorrtälje,Norrtälj,Lägenhet,Bostadsrätt,1,3,4,Yes,Yes,44.5,0,0,1900-1950,2175.00,2124.00,2024-05-29,2.00,-0.10,2.09
"Heidenstams gata 9",HisingsBacka,Göteborg,Lägenhet,Bostadsrätt,3,2,8,Yes,Yes,80,0,0,2011-present,4300.00,6360.00,2024-05-29,1.60,-0.03,1.62
"Prästgatan 8B",Landskrona,Landskron,Lägenhet,Bostadsrätt,2,3,4,No,Yes,56,0,0,1951-2000,4321.00,4200.00,2024-05-29,1.00,-0.10,1.10
"Walter Bengtssons Gata 21 - Vån 3 av 3",Majorna,Göteborg,Lägenhet,Bostadsrätt,3,3,3,Yes,Yes,85,0,0,2011-present,5221.00,7280.00,2024-05-29,4.49,0.19,4.30
"Kristinebergs strand 29",Kristineberg,Stockholm,Lägenhet,Bostadsrätt,2,2,6,Yes,Yes,35.5,0,0,1951-2000,3205.00,7560.00,2024-05-29,3.95,-0.20,4.15
"Hällbruksgatan 6",Örnäset,Lule,Lägenhet,Bostadsrätt,2,2,3,No,Yes,56,0,0,1951-2000,3419.00,6360.00,2024-05-29,1.25,0.00,1.25
"Sehlstedtsgatan 9, 2 tr",Gärdet,Stockholm,Lägenhet,Bostadsrätt,2,2,5,Yes,Yes,43,0,0,2011-present,2257.00,4800.00,2024-05-29,3.70,0.06,3.64
"Bjälbogatan 6A",Gottfridsberg,Linköping,Lägenhet,Bostadsrätt,3,1,3,No,Yes,77,0,0,1900-1950,3973.00,3300.00,2024-05-29,2.00,-0.05,2.04
"Knarrhögsgatan 12B",CentralaMölndal,Mölndal,Lägenhet,Bostadsrätt,2,3,4,No,Yes,59,0,0,1900-1950,4281.00,6345.00,2024-05-29,2.40,0.12,2.28
"Lotterivägen 8",Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,58,0,0,1900-1950,4157.00,6601.00,2024-05-29,2.95,0.35,2.60
"Cardellgatan 6",Östermalm,Stockholm,Lägenhet,Andelibostadsförening,4,3,4,Yes,Yes,96,0,0,"Before 1900s",3314.00,6360.00,2024-05-29,13.95,0.65,13.30
"Sorögatan 103, 1 tr",Kista,Stockholm,Lägenhet,Bostadsrätt,3,2,2,No,Yes,79.5,0,0,1951-2000,5492.00,8400.00,2024-05-29,2.30,0.15,2.15
"Finnboda Parkväg 2",FinnbodaHamn,Nack,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,77,0,0,2001-2010,5348.00,4980.00,2024-05-29,5.30,-0.03,5.33
"Husargatan 10",Haga,Göteborg,Lägenhet,Bostadsrätt,2,4,4,Yes,No,72.4,0,0,1951-2000,5223.00,8700.00,2024-05-29,4.19,0.21,3.98
