,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
561,"Kungsklippan 20, vån 2",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,1,2,0,Yes,Yes,27.0,0.0,0.0,1900-1950,3127.0,6360.0,,2.7,0.21,2.49
562,Tegnérgatan 15B,Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,3,3,No,Yes,43.5,0.0,0.0,1900-1950,2668.0,6360.0,,2.0,0.31,1.69
563,Stenkvistavägen 1,Söder,Eskilstun,Lägenhet,Bostadsrätt,3,1,9,Yes,Yes,71.5,0.0,0.0,1951-2000,3601.0,5897.0,,1.6,-0.15,1.74
564,Krongårdsringen 28,Örnäset,Lule,Lägenhet,Bostadsrätt,1,2,3,No,Yes,49.0,0.0,0.0,1951-2000,4443.0,672.0,,0.8,-0.1,0.89
565,Randgatan 8,Torpa,Jönköping,Lägenhet,Bostadsrätt,4,3,3,No,Yes,86.7,0.0,0.0,1951-2000,3512.0,6742.0,,2.6,-0.05,2.64
566,"Tantogatan 67, 5tr",SödermalmHögalid,Stockholm,Lägenhet,Bostadsrätt,2,5,10,Yes,No,42.5,0.0,0.0,1951-2000,2495.0,6360.0,,3.25,0.6,2.65
567,"Bjurholmsplan 17, 5 tr",SödermalmKatarina,Stockholm,Lägenhet,Bostadsrätt,1,5,0,Yes,Yes,25.0,0.0,0.0,2011-present,2808.0,6360.0,,2.45,0.7,1.75
568,Kung Kristians väg 2E,Kungahusen,Trelleborg,Lägenhet,Bostadsrätt,2,2,3,No,Yes,62.5,0.0,0.0,1951-2000,5321.0,3048.0,,0.93,-0.03,0.95
569,Bergkullevägen 281,Sylte,Trollhättan,Lägenhet,Bostadsrätt,2,1,3,No,Yes,65.5,0.0,0.0,1951-2000,4300.0,1124.0,,0.3,0.0,0.3
570,Lundenvägen 19B,Lunden,Skövd,Lägenhet,Bostadsrätt,3,3,3,No,Yes,79.0,0.0,0.0,1951-2000,5124.0,2137.0,,1.2,0.0,1.2
